checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
0<=X<200,critical/other existing credit,new car,<100,>=7,male single,none,car,none,own,unemp/unskilled non res,none,no,34,11160,3,2,38,2,2,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male mar/wid,none,car,stores,own,skilled,none,yes,21,17471,4,1,47,4,1,bad
no checking,existing paid,used car,<100,>=7,male single,none,life insurance,none,own,unskilled resident,none,yes,23,6096,3,1,35,1,1,good
<0,critical/other existing credit,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,14,8713,2,3,28,3,1,bad
0<=X<200,critical/other existing credit,business,100<=X<500,<1,female div/sep/mar,none,no known property,stores,rent,high qualif/self emp/mgmt,none,yes,47,13586,3,3,59,2,1,good
>=200,existing paid,used car,100<=X<500,4<=X<7,male single,none,life insurance,none,for free,skilled,yes,yes,67,2619,3,3,40,2,1,good
<0,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,37,14242,1,1,24,3,1,bad
no checking,no credits/all paid,new car,<100,4<=X<7,female div/sep/mar,none,car,none,own,unemp/unskilled non res,none,yes,68,1132,1,4,61,2,1,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,58,3421,2,4,52,1,1,bad
<0,existing paid,furniture/equipment,500<=X<1000,<1,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,4,2290,3,4,49,1,1,good
no checking,existing paid,business,<100,>=7,male single,none,car,bank,own,high qualif/self emp/mgmt,yes,yes,41,6622,1,1,73,3,1,good
no checking,all paid,radio/tv,<100,<1,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,12,7812,3,1,30,2,1,good
no checking,delayed previously,furniture/equipment,<100,>=7,male single,none,car,bank,own,skilled,yes,yes,20,12026,4,1,30,4,1,good
0<=X<200,existing paid,new car,<100,>=7,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,55,6150,4,1,34,2,2,good
<0,critical/other existing credit,new car,no known savings,>=7,male mar/wid,none,life insurance,none,own,skilled,none,yes,21,8215,2,1,43,3,1,bad
no checking,all paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,66,8715,4,4,40,4,1,good
0<=X<200,existing paid,used car,<100,4<=X<7,male mar/wid,none,car,none,own,unskilled resident,yes,yes,36,839,1,1,45,1,1,good
<0,existing paid,education,<100,>=7,male single,none,car,none,rent,high qualif/self emp/mgmt,none,yes,7,5313,1,4,42,1,1,good
0<=X<200,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,yes,yes,55,16490,2,1,30,4,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,bank,for free,skilled,yes,yes,12,1508,3,4,71,4,1,bad
no checking,delayed previously,new car,<100,4<=X<7,male single,none,real estate,none,own,skilled,yes,yes,67,13848,1,2,36,3,1,good
<0,critical/other existing credit,education,500<=X<1000,1<=X<4,male single,none,no known property,none,own,skilled,none,yes,33,3116,4,2,63,2,1,bad
no checking,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,life insurance,bank,rent,skilled,yes,yes,11,17205,1,4,65,1,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,8,8986,2,2,34,2,1,good
0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,male single,none,real estate,bank,own,unemp/unskilled non res,none,no,66,12954,4,2,22,1,1,bad
>=200,critical/other existing credit,radio/tv,<100,>=7,female div/sep/mar,none,real estate,none,for free,skilled,none,yes,4,887,4,4,30,2,2,good
<0,no credits/all paid,new car,<100,<1,male single,co applicant,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,18,5132,4,1,67,1,2,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,none,no known property,bank,own,skilled,none,yes,41,16078,2,1,51,2,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,male single,guarantor,car,bank,own,skilled,none,yes,45,3922,2,4,40,3,1,good
no checking,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,no known property,none,rent,high qualif/self emp/mgmt,yes,yes,49,12579,3,3,36,1,1,bad
no checking,critical/other existing credit,business,<100,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,56,15217,3,3,72,3,1,good
>=200,critical/other existing credit,education,100<=X<500,>=7,male single,none,life insurance,none,own,skilled,yes,yes,29,4961,3,2,66,1,1,good
no checking,existing paid,radio/tv,no known savings,unemployed,male single,none,real estate,none,for free,skilled,none,yes,64,13485,2,3,51,1,2,good
<0,critical/other existing credit,furniture/equipment,100<=X<500,>=7,male single,none,car,none,own,skilled,none,yes,70,409,4,2,45,1,1,bad
<0,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,none,real estate,stores,own,skilled,yes,yes,57,10394,4,1,60,2,1,bad
<0,existing paid,radio/tv,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,25,15043,1,4,37,1,2,bad
0<=X<200,delayed previously,radio/tv,no known savings,>=7,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,29,10173,3,1,66,3,1,good
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male mar/wid,none,no known property,none,for free,skilled,yes,yes,63,6188,4,4,32,2,2,good
0<=X<200,critical/other existing credit,radio/tv,<100,<1,male mar/wid,none,car,none,own,unskilled resident,none,yes,42,11604,4,3,43,2,1,good
no checking,critical/other existing credit,repairs,<100,>=7,male single,none,car,none,own,skilled,yes,yes,39,10174,4,1,52,1,2,bad
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/sep/mar,none,car,bank,own,skilled,yes,yes,24,830,4,1,42,4,1,good
0<=X<200,existing paid,new car,100<=X<500,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,44,4724,2,2,56,2,1,good
>=200,critical/other existing credit,radio/tv,<100,<1,male div/sep,none,car,bank,own,skilled,none,yes,51,10191,3,4,72,1,1,good
<0,existing paid,new car,<100,<1,male single,none,real estate,none,own,skilled,none,yes,29,7323,4,3,41,3,1,bad
no checking,existing paid,used car,no known savings,>=7,female div/sep/mar,none,life insurance,none,own,skilled,none,no,66,9912,4,1,23,4,1,good
<0,existing paid,new car,<100,4<=X<7,male mar/wid,none,real estate,none,rent,skilled,none,yes,39,5309,4,4,62,2,2,bad
no checking,existing paid,furniture/equipment,100<=X<500,>=7,male div/sep,none,real estate,none,rent,high qualif/self emp/mgmt,none,yes,27,13707,4,3,54,4,1,good
no checking,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,co applicant,life insurance,none,own,high qualif/self emp/mgmt,none,yes,24,4578,1,1,72,2,1,good
<0,existing paid,radio/tv,100<=X<500,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,21,18028,4,4,42,4,1,bad
<0,all paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,18,1171,4,2,54,4,1,good
no checking,no credits/all paid,vacation,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,9,3023,4,1,23,3,1,good
no checking,critical/other existing credit,vacation,<100,4<=X<7,male mar/wid,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,46,4712,1,4,57,4,1,good
no checking,existing paid,vacation,no known savings,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,34,6983,2,3,24,3,2,good
no checking,existing paid,used car,no known savings,1<=X<4,male single,none,car,none,own,unskilled resident,none,yes,31,12024,1,3,63,1,1,good
<0,delayed previously,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,11,9560,4,2,54,2,1,good
0<=X<200,existing paid,business,<100,>=7,male single,none,car,none,own,unskilled resident,none,yes,32,2115,2,1,63,3,1,good
<0,critical/other existing credit,radio/tv,no known savings,<1,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,24,17358,4,2,22,2,1,bad
no checking,critical/other existing credit,new car,500<=X<1000,4<=X<7,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,61,961,2,4,28,3,1,good
no checking,all paid,new car,no known savings,1<=X<4,female div/sep/mar,guarantor,car,bank,own,skilled,none,yes,63,7960,4,3,70,2,1,good
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male single,none,life insurance,stores,own,skilled,none,yes,53,13696,4,2,19,3,1,good
<0,critical/other existing credit,business,<100,>=7,female div/sep/mar,none,life insurance,bank,own,skilled,yes,yes,34,13644,2,1,39,2,1,bad
0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,<1,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,50,640,2,4,58,1,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,unemployed,male single,none,real estate,none,rent,skilled,none,yes,37,9512,4,1,57,2,1,good
no checking,existing paid,new car,<100,<1,male single,none,car,none,own,skilled,yes,yes,5,4737,1,2,55,1,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,car,none,for free,skilled,none,yes,70,10870,1,3,21,1,1,good
no checking,critical/other existing credit,education,<100,>=7,male single,none,life insurance,bank,own,skilled,none,yes,55,13820,1,3,65,1,2,bad
0<=X<200,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,10,6316,1,2,49,4,1,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,male div/sep,none,real estate,none,own,skilled,yes,yes,22,4744,2,1,45,2,1,bad
no checking,delayed previously,business,no known savings,1<=X<4,female div/sep/mar,none,no known property,none,rent,unskilled resident,yes,yes,18,3822,2,1,35,4,1,good
no checking,existing paid,new car,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,51,12920,1,1,41,4,1,good
>=200,existing paid,radio/tv,no known savings,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,17,16189,3,1,31,2,1,good
no checking,existing paid,used car,<100,1<=X<4,male div/sep,none,life insurance,none,own,skilled,none,yes,6,16510,3,3,65,1,1,good
0<=X<200,existing paid,domestic appliances,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,none,yes,53,10499,3,1,45,4,1,good
0<=X<200,existing paid,radio/tv,no known savings,unemployed,male single,none,car,bank,own,skilled,yes,yes,57,2561,4,2,69,4,2,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,none,real estate,stores,rent,skilled,yes,yes,9,11321,1,2,38,3,2,good
<0,critical/other existing credit,domestic appliances,<100,1<=X<4,male single,none,real estate,none,for free,skilled,yes,yes,52,7023,4,2,64,2,1,bad
<0,existing paid,furniture/equipment,<100,unemployed,male div/sep,none,no known property,none,own,unskilled resident,yes,yes,26,7155,2,2,71,4,1,bad
<0,all paid,business,<100,4<=X<7,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,23,3892,2,1,31,2,2,good
no checking,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,63,6588,3,3,62,2,1,good
0<=X<200,critical/other existing credit,new car,no known savings,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,no,48,16596,3,4,42,4,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,<1,female div/sep/mar,none,car,bank,own,skilled,none,yes,64,9872,2,1,73,2,2,bad
no checking,critical/other existing credit,domestic appliances,<100,1<=X<4,female div/sep/mar,none,real estate,none,rent,skilled,yes,yes,59,15905,3,4,59,1,2,bad
<0,existing paid,used car,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,5,10355,3,3,21,4,1,bad
0<=X<200,existing paid,education,500<=X<1000,>=7,male single,none,real estate,stores,rent,skilled,yes,yes,48,6490,2,1,61,4,1,good
no checking,critical/other existing credit,business,<100,unemployed,female div/sep/mar,none,real estate,none,own,skilled,none,yes,43,15047,4,4,28,4,1,bad
<0,delayed previously,used car,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,27,8056,3,3,19,3,2,good
<0,existing paid,business,100<=X<500,4<=X<7,male mar/wid,co applicant,life insurance,none,own,unskilled resident,yes,yes,32,1007,4,4,67,3,2,bad
0<=X<200,critical/other existing credit,new car,100<=X<500,1<=X<4,male mar/wid,guarantor,car,none,for free,skilled,yes,yes,70,6470,3,2,31,3,1,good
<0,existing paid,new car,<100,1<=X<4,male single,none,no known property,none,own,unskilled resident,none,yes,71,10354,1,2,32,3,1,good
no checking,existing paid,new car,500<=X<1000,<1,male single,co applicant,life insurance,none,own,skilled,none,yes,69,14566,4,3,51,4,1,good
no checking,existing paid,business,<100,<1,male single,none,real estate,none,own,skilled,none,yes,57,9576,4,3,20,1,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,none,car,none,own,unskilled resident,none,no,56,9206,3,4,20,2,1,good
no checking,existing paid,new car,no known savings,1<=X<4,male single,none,no known property,none,own,unskilled resident,yes,yes,52,3747,4,3,57,2,1,good
no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,none,car,none,own,unskilled resident,yes,yes,35,10114,1,2,59,4,1,good
<0,critical/other existing credit,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,for free,skilled,none,yes,64,9024,2,2,74,1,1,bad
no checking,existing paid,new car,<100,<1,male single,none,car,bank,for free,unskilled resident,yes,yes,45,14289,1,1,49,2,1,good
0<=X<200,existing paid,retraining,<100,4<=X<7,female div/sep/mar,none,car,none,own,skilled,none,yes,4,2071,2,4,22,1,1,good
no checking,critical/other existing credit,repairs,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,yes,yes,66,17819,1,3,52,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,none,yes,38,12967,1,3,37,3,1,bad
0<=X<200,critical/other existing credit,business,<100,4<=X<7,female div/sep/mar,none,car,bank,own,high qualif/self emp/mgmt,none,yes,54,18271,4,3,55,1,1,good
<0,critical/other existing credit,furniture/equipment,<100,>=7,male single,guarantor,no known property,none,for free,skilled,yes,no,48,10622,1,4,27,2,2,bad
<0,delayed previously,business,500<=X<1000,>=7,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,68,8630,3,2,42,2,1,bad
0<=X<200,existing paid,radio/tv,100<=X<500,4<=X<7,male single,none,life insurance,bank,for free,skilled,yes,yes,17,1996,3,3,31,2,1,good
no checking,all paid,radio/tv,100<=X<500,4<=X<7,male single,none,real estate,bank,own,skilled,yes,yes,6,6047,3,3,62,3,1,good
no checking,existing paid,new car,<100,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,no,27,16533,3,2,48,1,2,good
<0,existing paid,retraining,no known savings,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,68,8339,4,3,37,1,1,good
0<=X<200,existing paid,furniture/equipment,no known savings,unemployed,male single,none,no known property,stores,for free,skilled,yes,yes,51,12387,3,1,59,2,1,good
0<=X<200,critical/other existing credit,new car,>=1000,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,13,7847,1,2,28,1,1,good
<0,existing paid,new car,no known savings,<1,male single,none,life insurance,none,own,skilled,none,yes,16,6357,3,2,69,2,1,good
<0,all paid,radio/tv,no known savings,4<=X<7,female div/sep/mar,none,car,none,own,skilled,none,yes,17,3043,4,2,60,1,2,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male div/sep,none,real estate,none,own,skilled,yes,yes,13,11388,2,1,62,3,2,good
no checking,delayed previously,radio/tv,<100,4<=X<7,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,43,2750,1,2,32,3,1,good
0<=X<200,all paid,business,100<=X<500,unemployed,male single,none,car,bank,own,unemp/unskilled non res,none,yes,26,13388,1,4,58,4,1,good
0<=X<200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male single,none,no known property,none,own,unskilled resident,none,yes,58,8611,4,4,66,4,1,good
no checking,existing paid,radio/tv,500<=X<1000,1<=X<4,female div/sep/mar,co applicant,car,none,own,skilled,yes,yes,66,5175,2,4,67,4,1,good
0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,yes,yes,45,17714,3,2,38,1,2,good
no checking,existing paid,education,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,yes,69,4703,2,2,22,3,2,good
no checking,critical/other existing credit,repairs,<100,1<=X<4,male single,none,no known property,bank,own,unskilled resident,yes,yes,50,15029,1,2,56,3,1,good
<0,existing paid,radio/tv,no known savings,<1,female div/sep/mar,none,real estate,none,own,skilled,yes,no,55,12350,1,1,62,3,1,bad
0<=X<200,delayed previously,radio/tv,<100,<1,male single,none,car,none,for free,high qualif/self emp/mgmt,none,yes,21,15412,1,4,68,2,1,good
0<=X<200,existing paid,used car,<100,>=7,male single,none,real estate,none,own,skilled,yes,yes,21,1575,2,3,57,1,1,good
0<=X<200,existing paid,furniture/equipment,<100,>=7,male single,none,no known property,none,own,skilled,none,yes,27,11619,3,3,23,1,1,good
<0,critical/other existing credit,education,<100,4<=X<7,male single,none,car,bank,own,skilled,yes,yes,26,10590,1,2,60,4,1,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,<1,male single,none,car,none,own,skilled,none,yes,15,13658,4,1,50,2,1,good
0<=X<200,delayed previously,furniture/equipment,100<=X<500,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,26,18322,3,2,24,2,1,good
<0,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,24,1711,1,3,32,3,1,bad
0<=X<200,critical/other existing credit,education,<100,>=7,female div/sep/mar,co applicant,car,none,own,skilled,yes,yes,67,9844,3,4,24,4,1,bad
no checking,delayed previously,furniture/equipment,100<=X<500,<1,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,37,322,4,3,32,1,1,good
<0,critical/other existing credit,new car,<100,unemployed,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,5,6280,2,4,30,2,1,bad
<0,delayed previously,radio/tv,500<=X<1000,4<=X<7,male single,none,no known property,bank,rent,skilled,none,yes,72,7967,1,4,45,3,2,bad
0<=X<200,delayed previously,education,<100,1<=X<4,male single,none,no known property,none,own,unskilled resident,none,yes,34,13581,4,1,72,1,1,good
no checking,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,rent,skilled,yes,yes,71,14186,1,3,44,3,2,good
<0,critical/other existing credit,used car,100<=X<500,unemployed,female div/sep/mar,none,car,bank,rent,skilled,none,yes,22,3826,1,2,30,1,2,good
no checking,existing paid,new car,no known savings,1<=X<4,female div/sep/mar,none,car,none,for free,skilled,yes,yes,16,8350,2,1,26,3,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,life insurance,none,own,skilled,none,yes,68,13862,2,4,28,1,1,bad
<0,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,9,5978,3,3,34,4,2,bad
no checking,no credits/all paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,yes,yes,30,282,4,2,70,1,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,car,none,for free,skilled,none,yes,55,11136,4,1,44,1,2,bad
no checking,existing paid,radio/tv,<100,<1,male div/sep,none,life insurance,bank,own,skilled,none,yes,51,14328,2,2,26,1,1,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,yes,yes,71,4623,1,3,59,3,1,good
0<=X<200,critical/other existing credit,education,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,47,14718,3,2,63,2,1,bad
<0,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,car,none,for free,high qualif/self emp/mgmt,none,yes,20,13287,2,1,47,1,1,good
no checking,critical/other existing credit,business,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,41,14711,3,2,38,1,2,bad
0<=X<200,critical/other existing credit,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,no known property,bank,own,skilled,none,yes,13,2642,3,3,35,4,1,good
<0,existing paid,new car,<100,<1,female div/sep/mar,guarantor,life insurance,none,rent,skilled,none,yes,57,11313,4,1,37,1,1,bad
<0,no credits/all paid,radio/tv,>=1000,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,9,18035,3,4,35,4,1,good
>=200,existing paid,used car,<100,<1,male single,none,real estate,stores,own,skilled,none,yes,9,1067,4,1,57,1,1,good
no checking,existing paid,radio/tv,100<=X<500,<1,male single,none,life insurance,none,own,skilled,yes,yes,55,6453,1,3,19,3,1,good
<0,critical/other existing credit,new car,<100,>=7,male single,none,no known property,none,own,unskilled resident,yes,yes,18,2688,1,2,70,2,1,bad
0<=X<200,delayed previously,new car,<100,1<=X<4,male div/sep,none,life insurance,none,rent,skilled,yes,yes,71,17844,2,4,47,2,1,good
<0,existing paid,education,<100,1<=X<4,male div/sep,none,car,none,rent,skilled,yes,no,60,6891,1,4,32,2,1,bad
no checking,delayed previously,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,yes,yes,59,17233,4,2,35,3,1,good
<0,existing paid,education,<100,>=7,male single,none,life insurance,none,own,unskilled resident,none,yes,10,14276,3,3,31,4,1,bad
no checking,critical/other existing credit,used car,100<=X<500,4<=X<7,male single,none,no known property,stores,own,skilled,yes,yes,54,18480,3,1,47,2,2,good
0<=X<200,existing paid,radio/tv,no known savings,>=7,female div/sep/mar,none,car,none,own,skilled,yes,yes,61,17313,1,3,52,3,1,good
no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,bank,own,skilled,yes,yes,67,2085,4,4,45,3,1,bad
<0,existing paid,radio/tv,100<=X<500,1<=X<4,male mar/wid,none,life insurance,bank,rent,skilled,none,yes,29,12472,3,1,64,1,1,bad
0<=X<200,critical/other existing credit,used car,<100,1<=X<4,male single,none,real estate,bank,own,skilled,yes,yes,61,2427,1,1,51,4,1,good
<0,existing paid,new car,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,yes,yes,34,8392,4,2,47,3,1,bad
no checking,delayed previously,new car,<100,4<=X<7,female div/sep/mar,none,car,bank,rent,skilled,yes,yes,69,398,4,3,55,4,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,male mar/wid,guarantor,car,none,own,skilled,none,yes,16,18129,3,1,57,2,1,good
<0,existing paid,radio/tv,<100,<1,male single,none,real estate,none,own,skilled,yes,yes,21,13355,2,2,37,2,1,bad
no checking,critical/other existing credit,business,<100,4<=X<7,male mar/wid,none,no known property,bank,own,skilled,yes,yes,16,1994,2,3,64,2,1,good
no checking,delayed previously,vacation,<100,<1,male single,none,car,none,own,skilled,none,yes,27,1896,4,4,42,1,1,good
>=200,all paid,radio/tv,<100,4<=X<7,male single,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,60,10114,4,4,32,1,1,good
0<=X<200,existing paid,radio/tv,no known savings,4<=X<7,male mar/wid,none,life insurance,none,for free,unskilled resident,none,yes,32,13916,1,3,65,4,2,good
<0,delayed previously,radio/tv,>=1000,4<=X<7,female div/sep/mar,none,car,none,own,unskilled resident,yes,yes,59,3917,4,1,55,4,1,good
<0,all paid,used car,<100,>=7,female div/sep/mar,none,car,none,for free,skilled,yes,yes,57,17210,1,1,23,1,1,bad
no checking,existing paid,business,no known savings,>=7,male single,none,life insurance,none,rent,skilled,none,yes,8,11537,1,4,71,3,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,for free,unemp/unskilled non res,none,yes,38,16552,1,4,42,4,1,good
no checking,delayed previously,radio/tv,<100,4<=X<7,male mar/wid,co applicant,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,22,13260,4,1,52,4,1,good
0<=X<200,all paid,new car,<100,4<=X<7,female div/sep/mar,none,car,none,own,skilled,none,yes,58,5029,4,3,68,2,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,male single,none,car,none,rent,high qualif/self emp/mgmt,none,yes,72,8437,1,4,49,4,1,bad
