hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
City Hotel,0,504,2015,August,49,12,0,0,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,E,1,No Deposit,1,Transient,169.21253813933777,0,0,Check-Out
Resort Hotel,0,608,2016,May,35,5,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient-Party,19.365550982246887,0,0,Canceled
City Hotel,1,274,2017,March,14,4,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,34.88292530614579,0,1,Check-Out
Resort Hotel,1,413,2016,May,29,10,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,2,Contract,50.54893251500106,0,1,Canceled
City Hotel,0,476,2017,March,44,22,0,0,3,0,0,SC,GBR,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient,127.96533549749103,0,0,Check-Out
City Hotel,0,220,2017,April,49,8,1,3,2,0,1,BB,PRT,Direct,TA/TO,0,0,0,F,A,1,No Deposit,4,Transient-Party,110.7200952868383,0,1,Check-Out
City Hotel,0,150,2015,September,21,15,0,3,3,0,0,FB,PRT,Corporate,Direct,0,0,0,D,D,0,No Deposit,1,Transient-Party,105.16340108399834,0,1,Check-Out
City Hotel,0,111,2017,January,41,5,0,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,114.22627437790834,0,2,Canceled
Resort Hotel,0,358,2017,March,33,15,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,A,0,No Deposit,0,Transient,37.707301376242505,0,0,Check-Out
City Hotel,0,105,2016,December,44,5,0,1,2,0,0,HB,PRT,Direct,Direct,0,0,0,B,A,0,No Deposit,1,Transient-Party,108.1403476917231,0,0,Check-Out
Resort Hotel,1,468,2016,July,36,14,0,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,1,E,D,0,No Deposit,2,Transient-Party,45.05479405760987,1,1,Check-Out
City Hotel,1,194,2015,July,48,21,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,E,0,No Deposit,2,Transient,18.462624520169143,0,0,Check-Out
City Hotel,0,117,2015,March,8,20,2,2,1,0,0,BB,ITA,Groups,TA/TO,0,0,0,A,C,0,No Deposit,3,Transient,15.697581354505786,0,1,Canceled
City Hotel,1,672,2015,February,4,10,1,1,1,1,0,FB,PRT,Online TA,TA/TO,0,0,1,A,A,2,No Deposit,0,Transient,142.09480931941928,0,0,Check-Out
City Hotel,0,650,2017,April,35,10,3,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,127.90591354402935,0,1,Check-Out
Resort Hotel,0,138,2015,March,25,5,0,3,1,0,0,SC,ESP,Online TA,GDS,0,0,1,F,G,0,No Deposit,2,Transient,86.14998333895731,0,0,Canceled
City Hotel,1,267,2017,February,53,11,1,4,1,0,0,BB,Other,Online TA,Direct,0,0,0,F,A,1,No Deposit,2,Transient,75.03179527297799,0,0,Check-Out
City Hotel,1,6,2016,March,44,3,1,0,2,0,0,SC,ITA,Direct,TA/TO,0,0,0,F,A,0,No Deposit,2,Transient,58.97530203101908,0,0,Check-Out
City Hotel,1,170,2015,January,42,11,0,3,1,0,0,BB,PRT,Direct,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,67.26924020497276,0,2,Check-Out
City Hotel,1,601,2015,April,2,3,1,2,2,0,1,SC,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,187.5414562471181,0,0,Canceled
Resort Hotel,1,170,2015,August,39,11,1,7,1,0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,E,D,0,No Deposit,0,Transient,184.35507440342568,0,0,Check-Out
City Hotel,0,240,2017,January,33,11,2,5,1,0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,0,Transient,12.948079265580276,0,1,Check-Out
Resort Hotel,0,147,2015,November,19,23,0,2,1,0,0,BB,USA,Online TA,Direct,0,0,0,A,D,0,Non Refund,1,Transient,114.41713987629872,0,1,Canceled
City Hotel,0,471,2015,May,2,14,1,2,2,0,0,HB,Other,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,2,Transient,10.141271012558889,0,0,Canceled
Resort Hotel,0,616,2016,October,14,19,2,2,1,0,0,BB,USA,Online TA,TA/TO,0,1,2,A,A,1,No Deposit,2,Transient,165.22286825072595,0,0,Check-Out
City Hotel,0,68,2016,May,12,26,0,2,2,0,0,HB,PRT,Corporate,TA/TO,0,1,0,A,F,1,No Deposit,3,Transient,120.34442323711365,0,0,Check-Out
City Hotel,1,172,2015,May,20,21,1,2,1,2,0,BB,Other,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,1,Group,172.89212120958715,0,1,Canceled
City Hotel,0,529,2017,October,51,24,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,0,Transient-Party,94.809779111556,0,0,Canceled
City Hotel,1,192,2015,March,11,21,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,2,Transient,97.30770628108102,1,0,Check-Out
City Hotel,0,122,2015,April,42,3,1,4,2,0,0,HB,Other,Corporate,TA/TO,0,0,0,F,E,0,Non Refund,1,Contract,120.10401449100172,0,1,Check-Out
Resort Hotel,0,318,2016,September,49,25,4,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,3,Transient,57.46013841674525,0,0,Check-Out
City Hotel,1,152,2015,November,35,9,3,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,1,No Deposit,0,Contract,54.71607596494747,0,0,Check-Out
City Hotel,0,535,2016,October,45,28,3,5,2,0,0,SC,Other,Groups,TA/TO,0,1,0,F,A,0,No Deposit,0,Group,96.33301322247917,2,0,Canceled
City Hotel,1,477,2016,July,5,21,0,5,2,1,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,158.14865208888654,0,1,Check-Out
City Hotel,1,286,2017,January,32,20,0,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,D,0,Non Refund,0,Transient-Party,155.69535795502932,0,0,Check-Out
City Hotel,0,513,2015,January,38,7,1,4,1,2,0,BB,ITA,Offline TA/TO,TA/TO,0,1,0,D,A,2,No Deposit,2,Transient,89.38193056736714,0,1,Check-Out
Resort Hotel,0,14,2015,July,40,19,2,1,3,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,115.68033533402465,1,0,Check-Out
City Hotel,0,374,2016,February,27,17,0,4,2,3,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,1,Transient,84.76048383857287,0,3,Canceled
City Hotel,1,135,2015,May,17,19,1,4,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.95670272195902,0,0,Canceled
City Hotel,1,421,2016,June,16,26,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,1,Transient-Party,128.47226995074033,0,0,Check-Out
City Hotel,1,519,2015,October,38,7,3,2,2,0,0,BB,DEU,Online TA,Corporate,0,0,0,G,E,0,No Deposit,0,Transient-Party,96.60626098965913,0,1,Check-Out
City Hotel,1,152,2015,October,30,27,0,5,2,0,0,BB,PRT,Direct,TA/TO,0,0,0,F,A,1,No Deposit,3,Transient,117.11737987087315,0,0,Check-Out
City Hotel,1,234,2015,July,27,10,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,116.05012514910209,0,0,Check-Out
City Hotel,1,184,2015,November,18,24,0,4,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,G,1,No Deposit,2,Transient,66.23472494987348,0,2,Check-Out
City Hotel,1,241,2015,July,48,9,0,4,2,2,0,BB,FRA,Corporate,TA/TO,0,1,0,F,A,1,No Deposit,1,Transient,48.275521588410854,0,0,Check-Out
City Hotel,1,289,2016,April,13,8,2,4,3,0,0,BB,ESP,Corporate,TA/TO,0,0,0,D,A,0,No Deposit,2,Transient,131.6559552237366,0,5,Check-Out
City Hotel,0,406,2017,November,30,14,0,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,90.72521717590685,1,1,Check-Out
City Hotel,0,535,2017,January,3,25,0,3,1,0,0,BB,PRT,Corporate,TA/TO,0,0,1,F,E,0,No Deposit,0,Transient,74.03403821405345,0,1,Canceled
City Hotel,1,235,2016,July,53,30,2,2,2,0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.58408432904938,0,2,Check-Out
City Hotel,0,79,2017,December,10,24,0,1,2,0,0,BB,ITA,Groups,Direct,0,0,0,F,D,0,Non Refund,1,Contract,190.2274908564985,1,1,Canceled
Resort Hotel,1,305,2016,December,52,31,2,1,1,0,0,BB,GBR,Online TA,TA/TO,0,1,0,A,D,0,Non Refund,0,Transient,123.0483352394144,0,0,Canceled
City Hotel,0,360,2015,January,46,19,0,4,2,0,0,BB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,4,Transient-Party,179.52752780216366,0,1,Canceled
City Hotel,1,20,2017,February,23,7,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,1,Transient,107.2871832898959,0,0,Check-Out
City Hotel,0,19,2015,May,41,28,1,2,2,0,0,BB,DEU,Groups,TA/TO,0,0,0,A,F,1,No Deposit,1,Transient,101.07045765765193,0,0,Check-Out
City Hotel,1,706,2015,February,43,31,0,4,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,Contract,100.33468573284024,0,0,Check-Out
City Hotel,0,330,2016,February,14,22,1,8,1,0,0,BB,USA,Online TA,Direct,0,0,0,E,A,2,No Deposit,0,Transient,20.137297044445745,0,1,Canceled
Resort Hotel,1,136,2017,February,31,10,2,3,1,0,0,BB,PRT,Groups,Corporate,0,0,0,E,A,0,No Deposit,0,Transient,156.37861140465856,0,0,Check-Out
City Hotel,1,203,2015,February,30,25,1,3,2,1,0,BB,FRA,Online TA,Direct,0,0,0,D,F,0,No Deposit,2,Transient,90.27005929888514,0,1,Check-Out
City Hotel,1,224,2015,July,36,20,2,6,2,1,0,SC,ITA,Groups,TA/TO,0,0,0,G,A,0,No Deposit,0,Transient,116.47587925367013,0,0,Check-Out
Resort Hotel,0,183,2016,November,9,19,2,6,2,0,0,BB,Other,Offline TA/TO,TA/TO,0,0,2,A,A,0,Non Refund,1,Transient,47.41247569963796,0,0,Check-Out
Resort Hotel,0,36,2016,July,18,23,3,1,1,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,F,E,0,No Deposit,0,Transient,157.84135942077154,2,1,Check-Out
Resort Hotel,0,19,2017,September,26,29,1,8,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,A,0,No Deposit,1,Transient,84.13566955093823,0,2,Check-Out
City Hotel,1,123,2015,December,23,22,1,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,75.89000954012478,0,0,Check-Out
City Hotel,1,559,2015,March,4,5,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,A,1,No Deposit,2,Transient,61.97001779946299,0,2,Check-Out
City Hotel,1,114,2016,July,1,30,0,1,1,0,0,BB,ITA,Direct,TA/TO,0,0,0,D,E,1,No Deposit,1,Transient,129.6625820592567,0,2,Canceled
Resort Hotel,1,723,2017,February,19,27,0,1,2,0,1,BB,PRT,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,2,Transient,207.61286547926503,0,0,Check-Out
Resort Hotel,0,490,2016,January,20,18,3,3,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,E,1,No Deposit,0,Transient,93.22029098289613,0,0,Canceled
Resort Hotel,1,102,2015,September,23,7,0,2,1,0,0,BB,Other,Online TA,Direct,0,0,0,E,C,2,Non Refund,0,Transient,129.94704566331154,0,1,Check-Out
City Hotel,0,44,2017,August,53,28,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,3,Transient,109.81558644729635,0,0,Check-Out
City Hotel,1,339,2016,November,3,13,1,4,2,1,0,BB,GBR,Online TA,TA/TO,0,0,1,E,F,0,No Deposit,2,Transient,123.44929891189038,0,0,Check-Out
City Hotel,1,415,2016,June,7,1,0,7,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient-Party,101.04489071211874,0,0,Canceled
City Hotel,0,251,2017,January,13,22,0,1,1,0,0,BB,Other,Online TA,Corporate,0,0,0,A,F,1,No Deposit,1,Transient-Party,106.57796401653935,0,0,Canceled
City Hotel,0,633,2016,March,52,13,0,1,1,0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,1,Transient,26.60768173561955,0,0,Check-Out
Resort Hotel,0,657,2017,June,51,7,3,5,3,0,0,BB,FRA,Online TA,GDS,0,0,1,A,A,0,No Deposit,3,Transient,37.09502678485109,0,3,Check-Out
City Hotel,0,656,2017,February,31,18,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,C,F,1,No Deposit,1,Transient,46.85853288918742,0,3,Canceled
City Hotel,1,67,2016,February,24,7,1,1,1,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,2,Transient,93.27314015058946,0,0,Check-Out
City Hotel,0,508,2016,August,8,8,0,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,178.7512259244535,0,1,Check-Out
Resort Hotel,0,549,2016,August,21,21,2,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,1,No Deposit,0,Transient,77.46493705933898,0,3,Check-Out
City Hotel,0,149,2016,July,14,25,0,2,1,0,0,BB,PRT,Online TA,TA/TO,0,1,1,C,D,0,No Deposit,2,Group,144.64705856708238,0,1,Check-Out
City Hotel,0,238,2016,September,53,22,1,2,1,2,0,BB,PRT,Groups,Direct,0,1,0,G,A,1,No Deposit,3,Transient-Party,92.1162974314162,0,0,Check-Out
Resort Hotel,1,180,2016,January,46,31,1,1,1,0,0,BB,PRT,Online TA,Direct,0,0,0,D,A,1,No Deposit,0,Transient,92.43010988548994,0,0,Check-Out
City Hotel,0,565,2015,October,16,17,1,3,2,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,1,E,A,1,No Deposit,1,Transient,114.03887971134787,0,1,Canceled
Resort Hotel,0,69,2016,November,25,2,0,4,2,0,1,BB,GBR,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,3,Transient,4.72112027697375,0,0,Check-Out
Resort Hotel,0,662,2017,February,19,20,1,2,1,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,181.78690980373648,0,0,Check-Out
City Hotel,1,325,2016,December,2,18,0,0,1,0,0,HB,PRT,Online TA,Direct,0,0,0,F,D,1,Non Refund,0,Transient,102.51406655687367,0,0,Check-Out
City Hotel,0,601,2016,June,8,26,0,2,2,0,0,BB,PRT,Online TA,Direct,0,0,0,G,C,0,No Deposit,0,Transient,106.08086364610438,0,0,Check-Out
Resort Hotel,0,301,2015,August,13,28,0,2,2,0,1,BB,PRT,Direct,TA/TO,0,0,1,F,G,1,Non Refund,2,Transient,92.29786613850413,0,1,Check-Out
City Hotel,1,348,2016,December,34,10,3,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,115.44543540757229,0,0,Check-Out
City Hotel,0,669,2016,November,1,4,2,1,2,0,0,BB,ESP,Groups,TA/TO,0,0,1,E,A,0,No Deposit,0,Transient,88.73089962628048,0,5,Check-Out
Resort Hotel,0,697,2016,November,5,21,0,0,1,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,200.90948527810178,0,0,Check-Out
City Hotel,0,465,2017,June,53,16,1,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,2,Transient,73.57727506935079,0,0,Check-Out
City Hotel,0,101,2015,October,21,25,2,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,1,Transient,246.2665078242009,0,0,Check-Out
City Hotel,1,32,2017,January,26,14,1,2,1,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,1,Transient,121.71515474041519,0,0,Check-Out
City Hotel,0,158,2016,December,25,12,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,1,A,B,0,No Deposit,2,Transient,112.22116897500587,0,1,Check-Out
City Hotel,0,152,2015,November,30,20,4,3,1,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,1,B,A,0,No Deposit,0,Transient,74.36989901651299,0,0,Check-Out
City Hotel,1,689,2016,May,23,22,3,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,1,A,F,0,No Deposit,0,Transient,68.18660458464429,0,0,Check-Out
City Hotel,0,88,2016,May,36,23,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.07665615568166,0,5,Canceled
City Hotel,1,184,2016,December,34,16,1,4,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,69.3816323224071,0,1,Check-Out
City Hotel,1,168,2015,March,41,6,1,2,2,0,0,SC,Other,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Group,80.66209597218506,1,4,Canceled
City Hotel,0,570,2016,July,15,6,1,4,3,0,0,BB,ITA,Corporate,TA/TO,0,0,0,A,G,1,No Deposit,0,Contract,107.04626628135608,0,1,Canceled
City Hotel,0,360,2016,December,50,5,0,3,2,1,0,FB,Other,Online TA,TA/TO,0,0,0,E,G,0,No Deposit,0,Transient,123.55845289378867,0,0,Check-Out
City Hotel,1,410,2016,March,52,26,2,2,2,0,1,BB,FRA,Groups,Corporate,0,0,1,F,F,0,No Deposit,0,Transient,74.1578963638051,0,1,No-Show
City Hotel,0,572,2015,September,6,30,1,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,1,No Deposit,2,Transient,118.70137488126123,0,0,Check-Out
Resort Hotel,0,485,2015,December,50,30,1,4,2,2,0,SC,DEU,Online TA,TA/TO,0,1,0,F,E,0,No Deposit,0,Transient,41.92008223988643,1,2,Check-Out
Resort Hotel,0,41,2016,November,23,21,1,4,2,0,1,BB,USA,Online TA,Direct,0,0,0,A,A,0,No Deposit,0,Contract,72.65402639114697,0,0,Canceled
City Hotel,0,240,2016,February,29,6,1,1,1,0,0,BB,PRT,Corporate,TA/TO,0,0,0,F,A,1,No Deposit,0,Transient-Party,74.04221989098761,0,0,Check-Out
City Hotel,0,290,2017,February,4,23,1,2,2,3,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,1,Transient,145.8397069742684,1,0,Check-Out
City Hotel,1,182,2016,December,50,10,2,7,1,0,0,BB,PRT,Online TA,Corporate,0,0,0,D,F,0,No Deposit,1,Transient-Party,158.59042702597756,0,1,Canceled
City Hotel,1,277,2016,October,21,5,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,F,1,No Deposit,2,Transient,96.29129001345157,0,0,Check-Out
City Hotel,1,721,2016,November,41,30,0,4,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,107.7408630446108,0,1,Check-Out
City Hotel,0,467,2016,February,23,6,1,5,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,1,Transient,26.888251880026672,0,0,Check-Out
City Hotel,1,438,2016,February,15,21,1,10,1,0,1,BB,GBR,Direct,TA/TO,0,0,0,E,D,0,No Deposit,2,Transient,95.29945503474926,0,0,Check-Out
Resort Hotel,0,454,2017,April,49,15,1,4,2,0,0,HB,ESP,Groups,TA/TO,0,1,0,E,F,0,No Deposit,0,Transient,60.122642047831995,0,1,Canceled
Resort Hotel,0,96,2016,December,42,22,0,0,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,C,A,0,No Deposit,2,Contract,85.93459323520221,0,1,Check-Out
City Hotel,0,451,2016,December,38,12,0,3,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,F,D,0,No Deposit,1,Transient,77.06230370813122,0,0,Check-Out
City Hotel,0,126,2017,July,10,30,4,5,2,0,0,BB,DEU,Groups,TA/TO,0,0,0,D,A,1,No Deposit,2,Transient,157.63379902427084,0,1,Canceled
Resort Hotel,0,211,2016,March,26,2,0,3,2,0,0,SC,PRT,Online TA,TA/TO,0,1,0,A,C,0,Non Refund,0,Transient,87.61008863495809,0,1,Canceled
Resort Hotel,0,129,2016,May,11,12,2,4,1,0,0,SC,PRT,Online TA,Direct,0,0,0,G,F,1,No Deposit,0,Transient,133.59279630856878,1,0,Check-Out
Resort Hotel,1,606,2015,December,20,13,1,3,1,0,0,BB,FRA,Direct,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient-Party,112.5228009982394,0,1,Check-Out
City Hotel,1,361,2015,March,18,20,1,5,2,0,0,BB,PRT,Corporate,TA/TO,0,0,0,F,D,1,No Deposit,1,Transient,62.2717321692576,0,0,Check-Out
City Hotel,0,145,2016,May,14,30,1,2,3,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,G,1,No Deposit,1,Transient,38.70708805427444,1,0,No-Show
Resort Hotel,0,233,2017,July,16,31,0,1,2,0,0,BB,PRT,Corporate,TA/TO,0,0,1,A,E,0,No Deposit,0,Transient,51.69238687497561,0,4,Check-Out
City Hotel,1,329,2015,October,20,9,1,3,4,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,2,Transient,211.89080720264792,0,1,Check-Out
City Hotel,1,355,2015,November,45,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,1,Transient,36.05458721109876,0,3,Check-Out
Resort Hotel,0,619,2016,January,21,28,2,5,2,2,0,SC,DEU,Online TA,TA/TO,0,0,0,A,F,1,No Deposit,2,Transient-Party,163.25438094343895,0,0,Canceled
City Hotel,0,545,2017,December,5,25,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient-Party,93.37252380945087,0,0,Check-Out
City Hotel,1,216,2016,May,17,13,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,183.3885259738883,0,0,Check-Out
City Hotel,0,491,2017,March,18,4,4,2,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,1,Transient,150.87271087409823,0,0,Check-Out
Resort Hotel,0,660,2016,June,30,8,2,4,2,0,0,HB,FRA,Online TA,Direct,0,0,1,G,F,0,No Deposit,1,Transient,63.682275253489145,0,0,Check-Out
City Hotel,1,92,2017,September,50,6,1,4,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,37.240351884348556,0,1,Check-Out
City Hotel,1,53,2015,February,29,18,1,3,1,0,0,BB,Other,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,3,Transient,145.09150021879088,0,0,Check-Out
Resort Hotel,0,669,2016,May,1,30,1,4,1,2,0,BB,ITA,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,1,Transient,105.75300500856372,0,1,Canceled
City Hotel,0,178,2015,November,9,7,1,4,3,2,0,BB,PRT,Direct,TA/TO,0,0,0,A,D,0,No Deposit,1,Transient,61.51016279988598,0,2,Canceled
City Hotel,0,287,2016,August,4,29,0,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,Non Refund,1,Transient,63.15241950385408,1,1,Check-Out
City Hotel,0,637,2016,January,19,17,4,5,4,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,96.72112269384664,0,0,Check-Out
Resort Hotel,0,231,2015,February,9,15,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Group,74.43975841960118,0,0,Canceled
