id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
57,2014-05-04 08:00:00,245867.42177051902,8,8.0,5498,195979,3.5,0,2,5,10,3109,3110,1960,1960,98029,47.358871,-122.204881,1140,142365
58,2014-05-04 09:00:00,356308.18976015405,7,2.5,7393,178087,2.5,0,1,5,6,2316,651,1904,1944,98069,47.401891,-121.513334,3741,196848
59,2014-05-04 10:00:00,557871.7643627921,5,5.0,13432,199480,2.5,0,1,2,9,1241,2765,1927,1973,98144,47.530212,-122.477604,5703,110387
60,2014-05-04 11:00:00,875789.9770835513,10,5.5,9573,48813,3.0,0,1,3,10,5241,1432,1907,1988,98068,47.671674,-122.485778,468,167991
61,2014-05-04 12:00:00,316341.63547912287,5,2.0,7560,146020,3.5,0,0,2,4,8574,2190,1915,2013,98198,47.159048,-122.595453,3715,133727
62,2014-05-04 13:00:00,388496.21895982185,6,5.0,666,157703,1.5,0,2,3,11,9366,1495,1992,2007,98175,47.158673,-121.8684,2751,92180
63,2014-05-04 14:00:00,203936.81984104178,7,3.0,5445,51080,2.5,0,4,5,11,2636,4153,2006,1994,98187,47.504419,-121.936408,5688,9536
64,2014-05-04 15:00:00,191502.35078047117,3,7.0,2145,34186,3.0,0,2,5,12,8433,1891,1985,2013,98199,47.133954,-121.843979,6138,101977
65,2014-05-04 16:00:00,781341.876998304,4,6.0,380,146737,1.0,0,4,5,4,8588,1992,1992,1984,98149,47.546021,-122.578601,5257,59136
66,2014-05-04 17:00:00,1143229.8543739282,1,6.5,7538,187354,2.5,0,0,5,10,2520,3364,1966,2012,98158,47.550497,-121.956419,2412,86555
67,2014-05-04 18:00:00,420665.354810702,7,2.0,11810,140711,2.0,0,3,5,6,6005,100,1977,1948,98167,47.46208,-122.385257,2785,29850
68,2014-05-04 19:00:00,893117.1413010076,10,1.0,13469,17182,1.0,0,4,1,12,9196,3538,1955,1972,98012,47.736842,-121.406823,5346,118055
69,2014-05-04 20:00:00,569859.5566067895,2,7.0,3583,119282,2.5,0,3,3,8,7653,4527,1913,1954,98191,47.649803,-121.304742,2512,89286
70,2014-05-04 21:00:00,281648.7966398639,7,3.5,11128,122838,1.0,0,3,4,12,3183,2197,1928,1937,98038,47.656916,-122.186974,3424,133326
71,2014-05-04 22:00:00,569763.6609159212,6,2.0,5612,187677,2.0,0,2,3,11,2158,1914,1951,1963,98098,47.473617,-122.289447,3490,60895
72,2014-05-04 23:00:00,1298377.020267963,4,1.0,4909,130265,1.0,0,2,1,11,1582,4301,1948,1989,98145,47.155997,-122.069024,5213,61314
73,2014-05-05 00:00:00,431456.41341669176,2,4.5,12169,80147,2.5,0,4,2,13,7496,1837,2001,1946,98025,47.293384,-121.914131,6112,135139
74,2014-05-05 01:00:00,1322785.8447665202,7,1.5,9461,27137,3.5,0,3,2,8,7246,1108,1958,1986,98059,47.206499,-122.216676,554,69990
75,2014-05-05 02:00:00,70698.41458812912,7,5.0,5728,143842,2.0,0,0,3,10,698,134,1993,1987,98114,47.58221,-121.650418,3268,128638
76,2014-05-05 03:00:00,786487.2207232114,5,6.0,6668,83063,3.5,0,2,3,8,9259,2564,1953,1943,98113,47.636657,-121.659903,5932,184074
77,2014-05-05 04:00:00,470209.18435518123,9,4.5,11567,178011,3.5,0,1,4,8,8333,2113,1996,1965,98043,47.387779,-122.079547,1731,36167
78,2014-05-05 05:00:00,358862.59650763375,3,7.5,9592,9623,3.5,0,0,1,6,2252,4432,1931,1941,98189,47.570516,-121.927695,3694,57708
79,2014-05-05 06:00:00,471763.2470882984,9,1.5,13095,194553,3.5,0,0,4,11,7019,798,1985,1980,98156,47.426696,-121.456939,5874,150758
80,2014-05-05 07:00:00,110051.28460186312,5,4.0,8009,16065,1.5,0,4,4,5,1024,2767,1943,1953,98087,47.782542,-121.381196,4414,109177
81,2014-05-05 08:00:00,379355.74254798674,2,1.5,10042,43640,3.0,0,1,3,3,7528,3713,2015,1990,98126,47.589926,-121.32076,2782,22587
82,2014-05-05 09:00:00,568057.9970983726,9,7.0,7986,170390,3.0,0,1,5,10,769,1536,1932,1967,98064,47.247003,-121.496,2020,70154
83,2014-05-05 10:00:00,1244850.289582466,1,7.5,10323,183377,2.5,0,1,4,13,9126,1065,1925,1981,98034,47.571947,-121.96753,4711,143991
84,2014-05-05 11:00:00,307801.64575606707,1,3.5,7129,75758,3.0,0,2,5,4,2400,1364,1949,1976,98013,47.38461,-121.588095,1904,128501
85,2014-05-05 12:00:00,251212.50112797832,7,3.0,13520,21490,3.0,0,1,1,8,4616,962,1934,1935,98068,47.68014,-121.699807,5833,47252
86,2014-05-05 13:00:00,311380.2364144701,3,2.5,9176,165500,2.5,0,0,2,9,8380,1704,1929,1959,98169,47.484346,-122.12239,5827,109597
87,2014-05-05 14:00:00,839684.4809925735,8,7.0,7476,111210,2.5,0,4,5,6,8582,4079,1941,1960,98066,47.707587,-122.581694,2679,154897
88,2014-05-05 15:00:00,556891.5391850524,7,5.5,12760,42328,1.0,0,2,5,6,3953,4107,1990,1997,98060,47.177544,-122.216059,3482,84647
89,2014-05-05 16:00:00,305335.92940284405,7,7.0,13317,47920,3.0,0,3,4,6,606,162,2015,1962,98190,47.270066,-122.205519,4000,176957
90,2014-05-05 17:00:00,633672.2875537539,1,1.5,9771,113029,3.5,0,1,3,10,2975,4112,1976,1996,98091,47.312945,-122.533723,4070,12537
91,2014-05-05 18:00:00,473522.29902995133,1,4.0,5153,21989,1.0,0,2,4,6,2372,4315,2004,1988,98133,47.244867,-122.393341,2699,179113
92,2014-05-05 19:00:00,871570.0273422416,2,5.5,4363,30091,3.0,0,4,1,5,1873,3891,1905,1976,98095,47.35936,-121.685504,3748,68675
93,2014-05-05 20:00:00,270644.8799081676,2,7.0,10513,40374,3.0,0,3,3,8,5781,1746,2012,1949,98040,47.331307,-122.395624,1188,4105
94,2014-05-05 21:00:00,351736.1140300275,5,3.5,8857,102908,1.5,0,0,3,9,7090,2238,1964,2004,98174,47.521938,-121.945758,3619,124667
95,2014-05-05 22:00:00,336221.1116192742,9,3.0,7030,6813,3.0,0,1,3,6,2566,1990,1991,2012,98115,47.577503,-121.860962,771,52934
96,2014-05-05 23:00:00,158822.02843949103,7,7.5,891,124454,2.5,0,1,3,10,9094,262,1952,1979,98167,47.736847,-122.411364,4968,22752
97,2014-05-06 00:00:00,544315.4308640483,2,1.0,5711,140964,3.0,0,4,5,5,4323,607,1988,1973,98094,47.471407,-121.843777,5503,91126
98,2014-05-06 01:00:00,531117.5712643695,5,4.0,8122,131268,2.0,0,2,1,3,3515,3478,1913,1987,98151,47.794794,-121.600575,4565,192287
99,2014-05-06 02:00:00,443999.8127365399,5,4.0,9247,144828,3.5,0,2,5,8,7329,2762,1902,2005,98014,47.522543,-122.522111,3215,17648
100,2014-05-06 03:00:00,375415.6182798556,8,1.5,3985,128480,1.5,0,3,2,4,6760,1074,1999,1979,98036,47.34263,-122.421017,3757,186978
101,2014-05-06 04:00:00,164265.69388750053,9,3.5,1990,50713,1.0,0,1,5,6,582,2101,1950,1968,98129,47.310153,-121.590982,4840,106129
102,2014-05-06 05:00:00,329571.39098831505,8,6.0,12571,117164,3.0,0,4,2,3,4166,2440,1993,1998,98143,47.371907,-121.72193,4258,50926
103,2014-05-06 06:00:00,348049.44723941863,2,3.5,6371,151619,3.0,0,2,1,5,6833,4258,1982,2012,98061,47.783974,-121.951996,3589,56896
104,2014-05-06 07:00:00,252308.0174432199,4,3.0,874,23792,1.0,0,1,4,8,2167,3157,1971,1951,98026,47.675143,-122.169379,2769,190617
105,2014-05-06 08:00:00,395181.3299987006,2,6.5,7819,110694,1.5,0,2,3,7,6480,3319,1931,1982,98085,47.183288,-122.034687,3306,41739
106,2014-05-06 09:00:00,587032.5799675882,6,8.0,8456,68721,1.0,0,0,1,5,2342,3062,1906,1934,98164,47.206441,-121.842947,1754,21908
107,2014-05-06 10:00:00,1656686.5823097283,4,6.5,3834,57090,3.0,0,0,3,3,6683,4562,1928,2013,98152,47.696663,-122.21356,6028,118206
108,2014-05-06 11:00:00,499920.5521016167,7,7.0,6568,163966,1.0,0,1,3,13,5038,3926,2005,2013,98110,47.678755,-121.435786,972,7623
109,2014-05-06 12:00:00,529816.1155350498,2,7.5,5113,88989,1.0,0,1,4,3,4812,1690,1970,1946,98167,47.51438,-122.450598,2058,4388
110,2014-05-06 13:00:00,419948.70798797876,9,6.5,7517,140349,3.0,0,1,1,3,3960,215,1955,1986,98149,47.168892,-122.253735,4524,84579
111,2014-05-06 14:00:00,115480.86789479485,5,8.0,9189,116180,1.5,0,3,5,13,7642,2718,1957,1973,98106,47.641704,-121.848607,6130,91924
112,2014-05-06 15:00:00,434278.054794647,1,6.0,7593,74584,2.5,0,4,5,4,2160,4101,2000,1983,98035,47.574697,-121.88565,965,86048
113,2014-05-06 16:00:00,461464.84151584964,3,5.5,9512,133563,1.5,0,3,5,9,2418,3778,1917,2015,98028,47.507329,-121.66239,757,91950
114,2014-05-06 17:00:00,2481241.2047834555,4,5.5,3172,43395,2.5,0,0,1,6,2878,60,2011,1950,98076,47.779757,-122.529053,5161,90423
115,2014-05-06 18:00:00,386677.89958881907,3,7.5,10335,47041,3.0,0,0,5,10,3780,3518,1963,1985,98023,47.784249,-121.947222,865,191697
116,2014-05-06 19:00:00,546387.1883787261,6,5.5,9372,147082,3.0,0,0,1,3,7813,3099,1952,2007,98146,47.240755,-122.05765,3402,169667
117,2014-05-06 20:00:00,431793.0757726749,6,6.0,10428,132744,2.5,0,2,5,5,6184,266,2009,1999,98184,47.313444,-121.572945,864,107187
118,2014-05-06 21:00:00,195228.38818571973,10,2.0,8617,176830,3.0,0,0,2,8,5698,1616,1987,1978,98134,47.148425,-121.570487,1881,79773
119,2014-05-06 22:00:00,984585.451514406,7,7.5,12821,189169,3.0,0,0,5,5,3691,3194,1998,1959,98195,47.60484,-121.840272,2549,147140
120,2014-05-06 23:00:00,748894.2938854938,9,4.0,8451,71476,2.5,0,2,3,9,5375,2775,1908,1940,98109,47.30115,-121.648588,5519,70178
121,2014-05-07 00:00:00,769674.0272255478,10,1.5,4240,11289,1.0,0,1,3,4,7326,2959,1982,1988,98021,47.626748,-121.563842,509,197820
122,2014-05-07 01:00:00,234082.47315949312,9,6.5,2906,143089,3.5,0,4,4,3,3608,1790,1965,2010,98138,47.47928,-121.477,2405,179209
123,2014-05-07 02:00:00,1181099.1166028818,7,3.0,10617,182395,1.5,0,2,4,4,5878,3227,1940,1991,98152,47.294513,-121.313875,3674,127821
124,2014-05-07 03:00:00,165827.64686200835,1,2.0,7125,173968,1.5,0,3,5,10,538,1068,1926,1971,98107,47.354936,-121.842419,3714,117510
125,2014-05-07 04:00:00,667169.8670151549,3,2.5,8548,35937,2.0,0,0,2,11,5355,2770,1963,1974,98074,47.633721,-122.41756,3340,70029
126,2014-05-07 05:00:00,2049935.6042638472,5,1.0,516,32863,3.0,0,4,4,6,8842,3162,1925,1952,98075,47.369568,-122.28953,3923,190184
127,2014-05-07 06:00:00,221156.21199437312,10,1.0,10675,185939,1.0,0,2,1,13,8016,1552,1989,1993,98160,47.712677,-121.350641,1793,147253
128,2014-05-07 07:00:00,297625.5968842309,6,5.0,10748,148630,1.0,0,2,3,9,5830,1939,2011,2011,98162,47.686126,-122.329294,4149,28497
129,2014-05-07 08:00:00,474376.1994251734,6,7.0,4660,46971,3.0,0,4,3,4,2774,2896,2008,1938,98080,47.364604,-122.568965,5433,78078
130,2014-05-07 09:00:00,311005.86270297575,5,4.0,2706,150485,1.5,0,4,1,10,1202,2110,2002,1940,98051,47.347138,-121.784283,1371,45336
131,2014-05-07 10:00:00,149422.86690779054,6,5.0,827,149158,2.0,0,4,5,3,3550,2971,1966,1993,98153,47.442369,-121.83163,3780,36570
132,2014-05-07 11:00:00,464164.4016543226,9,6.5,13086,10345,2.0,0,3,1,8,4947,3616,1936,2011,98102,47.198858,-122.57626,3379,147574
133,2014-05-07 12:00:00,210320.4082289848,1,3.0,8756,51081,2.0,0,0,4,9,2794,3127,1926,2008,98038,47.603621,-121.638105,4403,12628
134,2014-05-07 13:00:00,616315.7555992237,1,5.5,8856,15805,2.5,0,2,5,12,2388,4296,1924,1942,98174,47.747016,-122.514458,6036,80763
135,2014-05-07 14:00:00,232443.63303009744,9,3.0,12054,32823,3.5,0,2,3,12,8373,4237,1927,1994,98008,47.392249,-121.800323,4020,34347
136,2014-05-07 15:00:00,1309235.691770069,8,5.5,7123,127597,2.5,0,4,4,4,7347,4696,1981,1985,98053,47.139205,-121.325498,3005,179662
137,2014-05-07 16:00:00,255690.42014508558,9,2.0,2467,12916,3.0,0,4,2,6,7459,702,2007,0,98096,47.582723,-122.137515,963,101949
138,2014-05-07 17:00:00,353117.7814124378,7,8.0,7807,103533,2.0,0,4,2,3,2080,3284,1958,0,98107,47.347605,-121.401826,5432,158009
139,2014-05-07 18:00:00,781884.2980779589,10,1.0,13477,156808,1.0,0,0,3,4,4795,2483,1988,1975,98097,47.2491,-121.917488,2888,91585
140,2014-05-07 19:00:00,186912.3330132195,6,4.5,6093,162944,2.5,0,1,3,8,5469,11,1933,1957,98031,47.629957,-122.038065,5058,12107
141,2014-05-07 20:00:00,518773.13868325186,9,2.5,527,129094,2.5,0,3,1,6,3109,2560,1952,1974,98173,47.302912,-121.80957,5587,10998
142,2014-05-07 21:00:00,1104606.7287449404,2,5.0,12778,96515,3.0,0,3,4,13,4460,1020,1919,1979,98160,47.65969,-122.098123,3814,41649
143,2014-05-07 22:00:00,143596.3813558771,4,3.5,7180,165364,3.5,0,2,1,9,872,3032,1918,1983,98142,47.67068,-122.482433,5115,173170
144,2014-05-07 23:00:00,503452.0236862124,2,3.0,2995,96809,2.5,0,1,2,4,6351,2748,2015,2012,98131,47.518484,-121.330715,2319,103142
145,2014-05-08 00:00:00,530681.8435552962,6,2.5,470,160222,3.0,0,0,1,10,8910,4389,1966,1975,98194,47.467634,-122.156414,2262,62469
146,2014-05-08 01:00:00,764728.3947648264,1,2.0,9880,11464,1.0,0,3,3,10,8251,4355,1908,1960,98119,47.496037,-121.747701,3912,24471
147,2014-05-08 02:00:00,186117.69146126544,7,6.5,5915,147730,3.0,0,4,3,3,5668,904,1956,2011,98063,47.354696,-121.832285,4440,157780
148,2014-05-08 03:00:00,175550.20877198345,7,2.0,11405,99191,2.0,0,4,4,9,3396,3386,1902,1948,98135,47.355399,-121.867297,4937,131635
149,2014-05-08 04:00:00,637531.5824794475,7,6.5,7344,55312,2.5,0,2,4,8,8332,3429,2002,2012,98153,47.699131,-121.536017,1327,161622
150,2014-05-08 05:00:00,544644.8834472079,4,4.0,1240,165941,1.5,0,3,1,8,1813,1749,1990,1992,98113,47.564058,-121.648816,6046,44980
151,2014-05-08 06:00:00,527205.1313003608,8,1.0,6568,36268,3.0,0,3,1,11,8401,1100,1927,1970,98199,47.650626,-121.503425,5290,128784
152,2014-05-08 07:00:00,563833.2025877809,5,1.5,12899,106625,1.0,0,3,5,11,3147,3717,1962,1941,98127,47.381161,-121.578693,3285,191281
153,2014-05-08 08:00:00,274850.5281539855,2,7.0,10755,64351,2.0,0,2,5,7,3422,4223,1900,1953,98152,47.719854,-122.033321,4850,137096
154,2014-05-08 09:00:00,520516.87539132626,5,5.0,2067,136376,3.0,0,2,2,6,4755,2280,1955,2008,98100,47.275041,-122.38149,832,20857
155,2014-05-08 10:00:00,543155.3921197008,10,2.0,1066,107791,2.0,0,2,4,5,4244,1110,1924,1962,98012,47.593187,-121.846963,5184,156507
156,2014-05-08 11:00:00,268324.94527024316,9,6.0,2785,92843,1.0,0,0,3,9,5247,1581,2014,2006,98131,47.752707,-121.776712,1720,81899
157,2014-05-08 12:00:00,1633184.1896777702,10,6.5,5662,43401,2.0,0,2,3,5,4808,952,1948,1962,98164,47.43474,-121.672287,5423,186479
158,2014-05-08 13:00:00,616419.5168953105,1,3.0,1986,894,1.0,0,3,4,7,5824,3414,1988,1976,98146,47.668412,-121.653582,1452,131812
159,2014-05-08 14:00:00,192160.75223952788,2,4.5,10519,88059,2.5,0,3,2,3,8769,323,1953,2011,98114,47.408604,-122.18645,2222,198356
160,2014-05-08 15:00:00,700526.5363423917,10,2.5,7432,182836,2.0,0,0,4,7,1514,1950,1928,1974,98156,47.745222,-122.053689,5784,186601
161,2014-05-08 16:00:00,223624.33136892586,8,1.0,3472,193659,1.5,0,4,2,10,3879,1317,1995,1960,98122,47.457855,-121.464716,2024,148166
162,2014-05-08 17:00:00,767550.2453998737,5,3.5,9978,12173,1.5,0,3,1,9,7037,3691,1995,1978,98061,47.719753,-121.712073,5198,97132
163,2014-05-08 18:00:00,995516.4286916693,9,6.0,11412,91897,1.5,0,4,2,6,8643,2550,1948,1993,98162,47.197802,-122.227362,2094,65852
164,2014-05-08 19:00:00,249078.2485172976,6,4.0,5898,101804,3.0,0,2,2,8,7028,1624,1979,1967,98198,47.700816,-121.332536,4923,32547
165,2014-05-08 20:00:00,868361.420871132,8,3.5,4726,11712,2.5,0,4,1,10,6300,661,1956,2013,98121,47.252632,-121.923857,2284,25509
166,2014-05-08 21:00:00,590630.94858371,1,3.0,1037,158675,2.5,0,3,3,6,6872,4027,1928,1962,98125,47.381567,-122.129211,3884,136656
167,2014-05-08 22:00:00,786574.0214036186,9,4.0,8166,84196,1.0,0,0,3,10,4120,3402,1922,2015,98069,47.35433,-121.751602,6143,60093
168,2014-05-08 23:00:00,1669033.1887517995,9,3.0,8056,138534,1.0,0,1,5,4,1087,2617,1935,1957,98106,47.645162,-121.637563,1741,76970
169,2014-05-09 00:00:00,372587.92111797055,3,5.0,6363,111158,3.0,0,4,5,8,4513,3911,2008,1980,98090,47.274773,-122.380782,4672,110899
170,2014-05-09 01:00:00,261028.45019681417,1,1.0,9449,106926,3.5,0,4,3,3,8210,2057,1931,1988,98123,47.33528,-121.980797,1507,21056
171,2014-05-09 02:00:00,237361.5770956775,8,6.5,5915,179972,3.5,0,1,5,13,3765,4042,2014,0,98175,47.215557,-121.657839,4385,122268
172,2014-05-09 03:00:00,249929.16095818867,8,2.0,13467,92388,2.0,0,4,1,11,8932,2399,1998,1941,98083,47.585848,-122.209763,2009,132705
173,2014-05-09 04:00:00,419168.7252504464,9,5.5,3242,85306,3.0,0,4,5,12,8615,3151,2012,1974,98021,47.710523,-121.933094,3063,163321
174,2014-05-09 05:00:00,561746.737547523,6,4.0,4183,142748,1.5,0,4,1,13,7275,952,1945,1994,98078,47.756091,-122.176417,4967,95499
175,2014-05-09 06:00:00,536962.5112121219,9,6.5,13508,48106,2.5,0,2,5,9,5993,2899,1909,2007,98076,47.234296,-122.370504,3513,136293
