InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
536590,21972,PRODUCT_385,59,12/05/2010 16:30,6.57882423407112,12632.0,United Kingdom,388.15062981019605
536591,26396,PRODUCT_232,55,12/05/2010 17:00,3.2065222329987857,16260.0,United Kingdom,176.3587228149332
536592,23577,PRODUCT_385,87,12/05/2010 17:30,0.5574768030733921,17973.0,Australia,48.50048186738511
536593,27317,PRODUCT_498,9,12/05/2010 18:00,5.502592893678068,,United Kingdom,49.52333604310262
536594,25178,PRODUCT_206,33,12/05/2010 18:30,3.3223460061862076,17862.0,United Kingdom,109.63741820414485
536595,W1461,PRODUCT_230,4,12/05/2010 19:00,4.931968001122501,15578.0,United Kingdom,19.727872004490003
536596,26309,PRODUCT_56,11,12/05/2010 19:30,4.299567399917391,17894.0,United Kingdom,47.2952413990913
536597,22791,PRODUCT_456,15,12/05/2010 20:00,0.4191504731912561,16017.0,United Kingdom,6.287257097868841
536598,22830,PRODUCT_459,61,12/05/2010 20:30,3.1613545488450705,13690.0,United Kingdom,192.8426274795493
536599,21929,PRODUCT_329,88,12/05/2010 21:00,7.984279773321803,17031.0,United Kingdom,702.6166200523187
536600,26418,PRODUCT_460,59,12/05/2010 21:30,3.0744810451050544,17497.0,United Kingdom,181.3943816611982
536601,29760,PRODUCT_437,21,12/05/2010 22:00,4.159550340084564,,United Kingdom,87.35055714177585
536602,22780,PRODUCT_50,38,12/05/2010 22:30,12.495519430250656,16518.0,United Kingdom,474.8297383495249
536603,21538,PRODUCT_86,76,12/05/2010 23:00,5.402709897781328,,United Kingdom,410.6059522313809
536604,25063,PRODUCT_116,35,12/05/2010 23:30,1.9049601727086003,,United Kingdom,66.673606044801
536605,20220,PRODUCT_240,24,12/06/2010 00:00,0.10100471444406489,14311.0,United Kingdom,2.4241131466575574
536606,27891,PRODUCT_457,20,12/06/2010 00:30,5.655344139789551,17190.0,United Kingdom,113.10688279579102
536607,28483,PRODUCT_15,35,12/06/2010 01:00,5.3030103952635335,14508.0,United Kingdom,185.60536383422368
536608,25658,PRODUCT_409,44,12/06/2010 01:30,8.225570816176194,13537.0,United Kingdom,361.9251159117525
536609,25462,PRODUCT_473,22,12/06/2010 02:00,4.175818819886164,,United Kingdom,91.86801403749561
536610,25699,PRODUCT_77,3,12/06/2010 02:30,0.4981063219836819,17832.0,United Kingdom,1.4943189659510456
536611,24111,PRODUCT_441,92,12/06/2010 03:00,3.764518989495869,13025.0,United Kingdom,346.33574703361995
536612,28504,PRODUCT_49,69,12/06/2010 03:30,1.2327810120266989,17520.0,United Kingdom,85.06188982984222
536613,29688,PRODUCT_164,79,12/06/2010 04:00,8.498039925561189,13297.0,United Kingdom,671.3451541193339
